state_ut,year,min_pm25,max_pm25,avg_pm25
Arunachal Pradesh,2014,12.506629537984336,31.55505410659211,21.37233575398408
Arunachal Pradesh,2015,9.125943310715288,37.15708764969912,19.917428562380234
Arunachal Pradesh,2016,14.804372854308255,32.669675070286374,21.06422146779549
Arunachal Pradesh,2017,9.056955792006532,36.41331368069681,21.076062681847223
Arunachal Pradesh,2018,11.668634345599347,35.79709051395356,20.857613646497335
Arunachal Pradesh,2019,13.5843910908948,34.12861119658262,20.331245432130878
Arunachal Pradesh,2020,12.69673316384366,43.72815992410611,21.65969102785262
Arunachal Pradesh,2021,12.035031229357282,37.43021997839045,23.686809875201657
Arunachal Pradesh,2022,12.814287494034804,28.947173928398247,19.908449670447524
Assam,1998,10.872047817473147,43.083317025193395,17.876450649395153
Assam,1999,10.484903435434626,32.66528549981398,18.9773539496583
Assam,2000,11.938682570611263,40.80055596938778,22.421491603958376
Assam,2001,15.767708177150087,50.20293601671487,24.66966284944806
Assam,2002,15.47994889652914,45.849267887131774,25.16487895215938
Assam,2003,14.463061986756252,48.654802925168994,25.511955588457194
Assam,2004,16.627993086189075,47.97382080618589,27.01415109096851
Assam,2005,18.48817490729624,52.15796694059806,28.129943386442328
Assam,2006,18.937626710723706,68.12770009141911,30.67974813472689
Assam,2007,19.369618298056785,58.49633297256299,29.193785350081985
Assam,2008,19.743169908236258,62.011843831514746,29.873322042826672
Assam,2009,25.192494290772913,84.26091597140514,36.16645389240521
Assam,2010,22.08712968003488,64.9935588821913,32.47012041821417
Assam,2011,22.12205206945864,76.35001945762941,32.079873514302776
Assam,2012,22.770104678415745,71.12389812348583,36.03659328880134
Assam,2013,20.026229621918898,58.61785058527289,31.135476144310694
Assam,2014,20.76449679665923,75.77772510982953,33.125749159755635
Assam,2015,19.681087091448788,54.089166166849544,33.01951248379973
Assam,2016,19.570725101318164,55.20751943112913,28.815634641517605
Assam,2017,19.71577978491879,52.850818064900935,30.24136893927391
Assam,2018,21.983398855989257,59.56643540813818,35.40752799152882
Assam,2019,18.657091599846368,61.199495302366294,33.732371265515226
Assam,2020,21.464107374288066,63.12547241472019,35.06140500501427
Assam,2021,23.43367125852821,52.56328302471088,33.68202438609853
Assam,2022,14.651482848654409,53.04160989948008,24.907885869211995
Bihar,1998,25.97963597729134,56.506937415498555,44.24156610379833
Bihar,1999,25.781877494883283,61.50900651004017,46.562696698105924
Bihar,2000,33.65180646220568,72.24290244273314,53.66232612311244
Bihar,2001,32.91441344069943,79.53181335544674,60.17350332244454
Bihar,2002,33.73129672963397,72.39171513215375,55.50254442119633
Bihar,2003,32.6705181937575,75.31656642193158,55.36719063782294
Bihar,2004,36.256603179221834,73.80535696642976,58.41014434397248
Bihar,2005,36.02103346697191,76.00655800455094,58.21949178461202
Bihar,2006,38.38176696908718,79.41141206879472,62.6182288926518
Bihar,2007,38.47522761977163,80.08036751199624,63.09670119142163
Bihar,2008,47.67013156429785,93.78329197824426,72.57807270966872
Bihar,2009,42.41464531368501,87.18571040347683,72.22727804919586
Bihar,2010,42.74174701639792,84.86486460867017,66.76611962689685
Bihar,2011,49.93366122086632,94.84978462090125,75.25847209832307
Bihar,2012,44.428824161851544,94.76859189953728,78.81066271154847
Bihar,2013,42.606388774448554,94.6635834344319,75.84208689052365
Bihar,2014,49.53938556544977,96.43051360518528,76.18438225034005
Bihar,2015,43.71644061893763,87.15307373282661,72.42399822356795
Bihar,2016,45.72073402862469,95.49908859984288,74.93547524769724
Bihar,2017,41.77073944879241,92.52498367770718,69.5694081916
Bihar,2018,45.92592752708613,87.66885549679857,71.80125511415083
Bihar,2019,50.22511691266832,93.57358144791787,77.2940884023168
Bihar,2020,44.91577013332685,84.86369202315521,71.13776033837479
Bihar,2021,43.40362013267932,89.80553651027222,71.1257026209641
Bihar,2022,32.09863511635132,92.49985997463271,67.34134091385674
Chandigarh,1998,25.24326095740547,25.24326095740547,25.24326095740547
Chandigarh,1999,25.428923825257684,25.428923825257684,25.428923825257684
Chandigarh,2000,33.09144871349476,33.09144871349476,33.09144871349476
Chandigarh,2001,34.0762392464653,34.0762392464653,34.0762392464653
Chandigarh,2002,36.01690189887479,36.01690189887479,36.01690189887479
Chandigarh,2003,38.57198822500287,38.57198822500287,38.57198822500287
Chandigarh,2004,40.504403638734985,40.504403638734985,40.504403638734985
Chandigarh,2005,37.37959129143804,37.37959129143804,37.37959129143804
Chandigarh,2006,38.10797264787478,38.10797264787478,38.10797264787478
Chandigarh,2007,38.72254798077552,38.72254798077552,38.72254798077552
Chandigarh,2008,44.38503861273707,44.38503861273707,44.38503861273707
Chandigarh,2009,42.69781349201604,42.69781349201604,42.69781349201604
Chandigarh,2010,50.21313918744368,50.21313918744368,50.21313918744368
Chandigarh,2011,49.586004515876056,49.586004515876056,49.586004515876056
Chandigarh,2012,49.56388935259448,49.56388935259448,49.56388935259448
Chandigarh,2013,48.47385133571748,48.47385133571748,48.47385133571748
Chandigarh,2014,47.26447979507824,47.26447979507824,47.26447979507824
Chandigarh,2015,52.60412023586462,52.60412023586462,52.60412023586462
Chandigarh,2016,59.21791766155815,59.21791766155815,59.21791766155815
Chandigarh,2017,52.98425086353612,52.98425086353612,52.98425086353612
Chandigarh,2018,53.758467566275144,53.758467566275144,53.758467566275144
Chandigarh,2019,48.43316107907696,48.43316107907696,48.43316107907696
Chandigarh,2020,49.27929414725451,49.27929414725451,49.27929414725451
Chandigarh,2021,53.24668077622703,53.24668077622703,53.24668077622703
