pc11_state_id,pc11_district_id,pc11_subdistrict_id,state_name,district_name,subdistrict_name,subdistrict_population,avg_pm2.5_1998,avg_pm2.5_1999,avg_pm2.5_2000,avg_pm2.5_2001,avg_pm2.5_2002,avg_pm2.5_2003,avg_pm2.5_2004,avg_pm2.5_2005,avg_pm2.5_2006,avg_pm2.5_2007,avg_pm2.5_2008,avg_pm2.5_2009,avg_pm2.5_2010,avg_pm2.5_2011,avg_pm2.5_2012,avg_pm2.5_2013,avg_pm2.5_2014,avg_pm2.5_2015,avg_pm2.5_2016,avg_pm2.5_2017,avg_pm2.5_2018,avg_pm2.5_2019,avg_pm2.5_2020,avg_pm2.5_2021,avg_pm2.5_2022
06,085,00415,haryana,rewari,bawal,161247,37.55287206062626,41.812309660206694,48.872406036491626,53.135397004047896,55.55628237326317,60.46291014891753,59.32958627872581,56.991241054813564,54.248733821824196,58.18257047052337,63.48876386095607,54.961247008749524,74.79557530505583,68.30815699883185,66.39055719780782,67.27934889880953,63.73225723195173,65.17089073160768,76.18402008171562,72.3819697576744,70.15127374215099,68.99637651968293,65.10907838244407,71.66378719760071,65.62840896709336
06,086,00416,haryana,gurgaon,pataudi,93685,40.413225991459306,42.41371262114552,53.31322985753743,58.039705364678696,61.25833403740779,68.11880239972555,63.793226649359426,60.16670957296394,59.64739139717736,63.24292351208694,70.80988746094312,60.92117185017812,82.5256191130447,81.05658324102036,71.84060007449919,74.84083642350883,70.58840952998176,69.47112709947895,84.14045890089838,78.91258882660185,77.9310028630116,73.90852323124778,70.64062128009412,73.58886133912334,70.90141231371796
06,086,00417,haryana,gurgaon,gurgaon,1313824,44.86271143675037,47.1755421456732,58.58305209017244,62.90160814747637,66.5270965361128,75.78495111109396,69.57259973956201,65.18862467473119,62.19551922489154,68.27232874905738,76.62819151966826,67.69131901429974,88.41774364270907,94.42380901634965,82.7511647947416,86.06951219558643,79.7705327822451,80.97669505558206,98.91235749193251,92.82479639265402,95.46798288627461,85.11676497119136,83.51367024066246,88.21583794972226,82.18623959639852
06,086,00418,haryana,gurgaon,farrukhnagar,141019,42.2697313529936,43.56466696474091,55.42707740696401,60.3511688162959,62.8463075240891,70.04888427975557,65.00983888376543,62.16769614896484,60.81780694154091,65.66033471581574,73.8878435146359,63.643815498539645,85.13246221107462,86.38743215530626,75.1090465953911,77.61513533152554,73.43792644119576,72.05990225243437,88.23320938846705,82.63061572540387,82.30761431171517,77.30067149039056,74.65877814759304,77.07548524762858,73.7805815824991
06,086,00419,haryana,gurgaon,manesar,131275,41.23088743383419,42.41699153992017,53.72340467629544,58.22883528919487,62.07005903146005,69.11198281701945,63.79837432225412,60.713508355935936,59.34273356602581,64.16860320653673,72.05144924983492,63.29954475806843,83.19951392097,83.93367648286798,73.86072305400432,77.26061346087573,72.03326980051786,71.03919665560886,88.30909465804461,81.64948827252321,81.53474962721563,76.5339985011274,73.76754558663853,76.27855768733494,72.44601285319602
06,086,00420,haryana,gurgaon,sohna,133039,43.740657242067,44.6914047286023,54.85898477523137,59.53403385397915,62.915130203981526,71.50336238125658,65.8860767087199,62.671246604970456,59.87271463421819,65.75962500233167,73.89534058346027,64.83310216597182,84.32029381476883,86.17295904157456,76.91014469057542,79.38921555433816,74.61926839533464,73.55110063931741,91.17902736871963,84.15294256211043,85.1998339432947,78.47788031805098,75.53094071003787,76.74446461536911,72.5124766818655
06,087,00421,haryana,mewat,taoru,189337,41.358878473540095,42.373175873515066,52.13149122198967,57.10152164784752,61.1826421560585,67.71491948476094,62.832750658785386,59.877385323418984,57.72560240071115,63.07375843460442,69.96463915979245,61.221543755148176,81.70002988667603,81.58018496782654,73.21109657165373,76.41455079160515,72.28829315579273,70.03206755106616,85.72873700470116,79.22628304645649,78.76428458708573,74.99614317833263,71.60452514681863,72.5807835275739,68.75581150219506
06,087,00422,haryana,mewat,nuh,324798,42.22235951519092,45.868656745004046,53.64317711202737,58.822469559290106,60.78940865870894,68.67834787026328,63.48163467507469,62.75429975790124,59.32144190473838,62.68470311530612,69.81341662763299,62.24508644123944,79.51422260448352,82.6216543337107,74.32741305302858,73.45765159243827,75.2513582385886,71.60692219721288,85.30165656355918,79.45798516104253,78.15020756977806,77.75618607296327,72.25827123403852,69.74353957377463,67.79845496287606
06,087,00423,haryana,mewat,ferozepur jhirka,403440,39.481041899261214,42.47825745203147,50.16712033188679,53.721042724721904,55.96908715725072,61.54717150582233,59.074767324797534,59.95887036940272,58.32889590764466,57.65491797700254,63.99150376437051,57.52237295346296,71.4672725466363,73.09012119924753,67.54264851214253,67.09175624999222,69.00393881656416,67.10670442163912,77.37487606905609,73.71179820377522,71.91408477562584,74.06690262466238,67.51172803934449,65.96772656186037,62.65241964958299
06,087,00424,haryana,mewat,punahana,364776,42.15250092561395,47.0210123842868,54.38920722275838,57.285806556014094,58.9977877183986,66.89165365131963,62.163039803707996,63.103015069759486,61.22297567141289,61.15462868468154,67.83227778148917,61.01534228199195,75.37436937544103,77.33126474591472,71.23977437341006,68.35133371770482,72.1129462308627,69.84032324738686,81.49430926241156,77.62136778664579,75.95636075594791,77.33965059519606,69.24861838461507,68.30981300656141,66.27166348839638
06,088,00425,haryana,faridabad,faridabad,1927429,50.97323568509007,50.941972072189024,62.37393528476179,66.03211262632216,69.35980204513781,80.8367865726082,74.59207479938274,69.48637705908072,65.69573206618571,72.52927496559998,82.0940639626441,72.25337222492537,94.22098191758714,99.66012997629957,86.50681645919454,88.74926741428379,84.07157023912846,86.55664205173504,104.44374239645863,95.68146397998174,98.9009007907574,86.43797097392358,84.22497107571824,87.40189457440022,82.80991274317655
06,088,00426,haryana,faridabad,ballabgarh,198215,48.47983912407333,50.41668691570162,61.97696316260864,64.56956709770904,66.70574940298239,78.8199766214871,70.88064062336686,69.97915447904695,65.05878078271361,71.10010265467014,79.86230381504905,70.82786846191304,91.15902033167598,97.7737787322836,82.49527579873887,81.61873395543488,78.66925984861705,80.79818268140052,98.67100585307357,91.79704984827102,92.68753463108112,82.29309330770268,80.0933980204895,79.58259349512213,78.14557505915623
06,089,00427,haryana,palwal,palwal,595634,45.98458244891199,49.29931586201967,58.58497068274985,61.24190871290939,63.24299433721819,73.8911822773689,66.54620293072635,67.09813356592366,62.49569904330664,66.2392809666462,75.26978106519925,67.04258569506383,84.50070028943108,88.97513517529606,77.10317958623969,75.2958253172663,74.50836608208452,75.08307967830969,91.66676704999101,84.9870506418934,83.57020342800904,78.4340534039828,75.55893223132387,73.64910015073107,71.37726700967
06,089,00428,haryana,palwal,hathin,264261,43.7915970737812,48.34611885928596,56.157368154562256,60.12285360418196,61.67536911323836,70.2336071168477,64.46689199752562,64.95694053406778,61.11338793224429,63.164269259421864,71.28559513198425,63.59818192674782,80.31302437744381,83.2629880219045,74.88772507503846,72.37173290106354,74.519196147009,72.41647548901857,86.4598458048408,81.11684079317433,79.46774532438079,78.0291484573467,72.3819496618462,70.61236406026923,68.71202619865933
06,089,00429,haryana,palwal,hodal,373474,46.717529577265665,50.36085662743131,57.87340797087807,60.56520927099904,61.687030295996784,71.46437374145196,64.91252199941941,66.31674375262513,62.873574788097486,63.08656638582841,71.66633770991615,64.69834523089507,80.4251070829773,82.66062647906625,72.77339445640689,70.32029473437676,71.59861393174813,71.56944298770686,85.1742325167952,80.93253647753826,79.3338275647823,77.59883468565872,72.69627007144047,70.8562786355829,68.62674978871786
07,090,00430,nct of delhi,north west,narela,1291253,65.09873052763756,64.85522891562007,75.98360729831867,79.3639007671066,84.40386695403139,92.4163497037062,87.55176186466699,84.14750824784261,79.12630720583618,86.60819902890857,96.18069434781229,88.13208188030627,109.1305863473607,117.71917174445416,102.77114230444302,103.98196387550121,95.18186715448608,95.0484132407631,115.11479148905363,108.81338246656591,112.3560881661605,102.64606119798566,97.16002936577603,104.87795440047385,95.88355126027915
