unique_id,pollutant,iso,longitude,latitude,elevation,area,type,labeled_area,labeled_type
rou_22.243186_45.363125,PM,rou,22.243186,45.363125,226.0,rural,non-background,1.0,1.0
zaf_18.653556_-34.015583,PM,zaf,18.653556,-34.015583,31.7,urban,background,0.0,0.0
mex_-98.577777777778_19.589166666667,PM,mex,-98.577777777778,19.589166666667,,urban,non-background,0.0,0.0
jpn_139.533611111111_35.5561111111111,PM,jpn,139.533611111111,35.5561111111111,22.0,urban,background,0.0,1.0
bra_-43.23809_-22.893242,PM,bra,-43.23809,-22.893242,,urban,non-background,0.0,0.0
tur_36.15239_36.20788999948776,PM,tur,36.15239,36.20788999948776,105.0,urban,background,1.0,1.0
chn_114.0997_27.5002,PM,chn,114.0997,27.5002,,urban,background,0.0,0.0
tur_37.19834_38.20383999947784,PM,tur,37.19834,38.20383999947784,1141.0,urban,background,1.0,1.0
usa_-80.666447_26.724786,PM,usa,-80.666447,26.724786,20.0,rural,background,1.0,0.0
bra_-48.548349_-22.313915,PM,bra,-48.548349,-22.313915,,urban,background,1.0,0.0
bra_-44.15788889_-20.14445,PM,bra,-44.15788889,-20.14445,,urban,background,0.0,0.0
chn_120.1556_30.2864,PM,chn,120.1556,30.2864,,urban,background,0.0,0.0
ita_12.962063_42.572591,PM,ita,12.962063,42.572591,948.0,rural,background,1.0,1.0
chn_113.4075_22.5111,PM,chn,113.4075,22.5111,,urban,background,0.0,0.0
ind_72.928297_19.164394,PM,ind,72.928297,19.164394,,urban,background,0.0,0.0
chn_109.2186_34.3731,PM,chn,109.2186,34.3731,,urban,non-background,0.0,0.0
gtm_-90.514255_14.607198,PM,gtm,-90.514255,14.607198,,urban,non-background,0.0,0.0
ita_8.820278_45.816944,PM,ita,8.820278,45.816944,388.0,urban,background,1.0,1.0
kor_126.7404835_35.8357126,PM,kor,126.7404835,35.8357126,,urban,background,0.0,0.0
kor_126.5526_37.7151,PM,kor,126.5526,37.7151,,urban,background,0.0,0.0
chn_114.2529_30.558,PM,chn,114.2529,30.558,,urban,background,0.0,0.0
swe_14.105687_59.31116499952922,PM,swe,14.105687,59.31116499952922,46.7,urban,background,1.0,1.0
fra_-0.396042_46.143173,PM,fra,-0.396042,46.143173,93.0,rural,background,1.0,1.0
mex_-103.4295_25.544416666667,PM,mex,-103.4295,25.544416666667,,urban,background,0.0,0.0
usa_-75.5568_38.986672,PM,usa,-75.5568,38.986672,0.0,rural,background,1.0,1.0
bra_-43.212411_-22.902654,PM,bra,-43.212411,-22.902654,,urban,background,0.0,0.0
ind_73.010555_21.613267,PM,ind,73.010555,21.613267,,urban,background,0.0,0.0
mex_-103.43022222222_25.544722222222,PM,mex,-103.43022222222,25.544722222222,,urban,background,0.0,0.0
usa_-81.184167_35.903611,PM,usa,-81.184167,35.903611,339.0,urban,background,1.0,0.0
chn_113.2146_23.3916,PM,chn,113.2146,23.3916,,urban,non-background,0.0,0.0
hrv_18.83463888888889_45.698027777777774,PM,hrv,18.83463888888889,45.698027777777774,0.0,rural,background,1.0,1.0
usa_-80.395039_35.551868,PM,usa,-80.395039,35.551868,240.0,rural,background,1.0,0.0
usa_-116.21537_33.70853,PM,usa,-116.21537,33.70853,0.0,urban,background,1.0,0.0
chn_116.5652_37.3319,PM,chn,116.5652,37.3319,,urban,background,0.0,0.0
bra_-43.22174541_-22.89777109,PM,bra,-43.22174541,-22.89777109,,urban,background,0.0,0.0
mex_-98.214222222222_19.041388888889,PM,mex,-98.214222222222,19.041388888889,,urban,non-background,0.0,0.0
mex_-99.17_19.468611111111,PM,mex,-99.17,19.468611111111,2233.0,urban,non-background,0.0,0.0
aut_13.05329_47.79739999946582,PM,aut,13.05329,47.79739999946582,425.0,urban,background,1.0,1.0
chn_111.5992_26.4364,PM,chn,111.5992,26.4364,,urban,background,0.0,0.0
chn_120.242_31.5031,PM,chn,120.242,31.5031,,urban,background,0.0,0.0
rou_28.610292_44.319639,PM,rou,28.610292,44.319639,20.0,urban,background,1.0,1.0
jpn_132.999444444444_34.0633333333333,PM,jpn,132.999444444444,34.0633333333333,3.0,urban,background,0.0,1.0
ita_11.368611_45.71444399999999,PM,ita,11.368611,45.71444399999999,190.0,urban,background,1.0,1.0
tur_27.97861_40.48971999946956,PM,tur,27.97861,40.48971999946956,61.0,rural,background,1.0,1.0
usa_-112.14426_33.40635,PM,usa,-112.14426,33.40635,318.0,urban,background,1.0,0.0
usa_-111.805769_33.474609,PM,usa,-111.805769,33.474609,412.0,rural,background,1.0,0.0
kor_127.404722_36.446944,PM,kor,127.404722,36.446944,,urban,non-background,0.0,0.0
kor_128.901042_35.227745,PM,kor,128.901042,35.227745,,urban,non-background,0.0,0.0
chn_116.2202_40.2915,PM,chn,116.2202,40.2915,,urban,background,0.0,0.0
chn_85.1186_45.6886,PM,chn,85.1186,45.6886,,urban,non-background,0.0,0.0
usa_-82.432436_38.410242,PM,usa,-82.432436,38.410242,169.4688,urban,background,1.0,0.0
ind_79.7532099_11.6829898,PM,ind,79.7532099,11.6829898,,urban,background,0.0,0.0
ita_9.66694_45.23499999999999,PM,ita,9.66694,45.23499999999999,63.0,rural,background,1.0,1.0
chn_114.9367_25.8664,PM,chn,114.9367,25.8664,,urban,background,0.0,0.0
chn_111.2628_30.6961,PM,chn,111.2628,30.6961,,urban,background,0.0,0.0
mex_-98.237305555556_19.317583333333,PM,mex,-98.237305555556,19.317583333333,,urban,non-background,0.0,0.0
chn_114.9461_25.8481,PM,chn,114.9461,25.8481,,urban,background,0.0,0.0
gbr_-2.945307000000001_54.894833999495205,PM,gbr,-2.945307000000001,54.894833999495205,11.0,urban,background,1.0,1.0
tur_27.078306_38.61004999947613,PM,tur,27.078306,38.61004999947613,13.0,urban,background,1.0,1.0
chn_114.1871_22.6451,PM,chn,114.1871,22.6451,,urban,background,0.0,0.0
chn_104.2394_30.5319,PM,chn,104.2394,30.5319,,urban,non-background,0.0,0.0
ind_80.0834807_12.8777316,PM,ind,80.0834807,12.8777316,,urban,background,0.0,0.0
tur_29.969711_39.42804199947298,PM,tur,29.969711,39.42804199947298,935.0,urban,background,1.0,1.0
mex_-100.46339166667_25.784941666667,PM,mex,-100.46339166667,25.784941666667,,urban,non-background,0.0,0.0
usa_-120.836008_37.488317,PM,usa,-120.836008,37.488317,56.0,urban,non-background,1.0,0.0
esp_-6.6039_42.78139999999999,PM,esp,-6.6039,42.78139999999999,700.0,rural,background,1.0,1.0
bra_-43.17815176_-22.90834428,PM,bra,-43.17815176,-22.90834428,,urban,non-background,0.0,0.0
usa_-82.665331_38.520043,PM,usa,-82.665331,38.520043,168.0,urban,background,1.0,0.0
ita_14.34927_40.81587999999999,PM,ita,14.34927,40.81587999999999,75.0,urban,background,1.0,1.0
bra_-43.2212_-22.8961,PM,bra,-43.2212,-22.8961,,urban,background,0.0,0.0
jpn_139.514722222222_35.5397222222222,PM,jpn,139.514722222222,35.5397222222222,4.0,urban,non-background,0.0,1.0
chn_103.7508_29.6006,PM,chn,103.7508,29.6006,,urban,background,0.0,0.0
gbr_-1.454946_53.244130999485535,PM,gbr,-1.454946,53.244130999485535,98.0,urban,background,1.0,1.0
usa_-96.432113_42.148699,PM,usa,-96.432113,42.148699,430.0,rural,background,1.0,1.0
deu_7.973542_50.76681500000001,PM,deu,7.973542,50.76681500000001,480.0,rural,background,1.0,1.0
tha_100.715_13.676111,PM,tha,100.715,13.676111,,urban,non-background,0.0,0.0
chn_111.3119_30.7273,PM,chn,111.3119,30.7273,,urban,background,0.0,0.0
ken_36.66314_-1.26614,PM,ken,36.66314,-1.26614,,urban,non-background,0.0,0.0
tha_100.646009_13.779873,PM,tha,100.646009,13.779873,,urban,background,0.0,0.0
ind_71.393989_25.747299,PM,ind,71.393989,25.747299,,urban,background,0.0,0.0
chn_106.591_29.4272,PM,chn,106.591,29.4272,,urban,background,0.0,0.0
chn_103.3861_23.35,PM,chn,103.3861,23.35,,urban,background,0.0,0.0
jpn_140.238611111111_36.3858333333333,PM,jpn,140.238611111111,36.3858333333333,3.0,urban,background,0.0,1.0
mex_-99.380361111111_20.186361111111,PM,mex,-99.380361111111,20.186361111111,,urban,background,0.0,0.0
ita_18.02972_40.40444,PM,ita,18.02972,40.40444,10.0,urban,background,1.0,1.0
can_-114.76835_53.37255,PM,can,-114.76835,53.37255,789.0,rural,background,1.0,1.0
chn_103.7627_29.5844,PM,chn,103.7627,29.5844,,urban,background,0.0,0.0
mex_-99.243611111111_19.4825,PM,mex,-99.243611111111,19.4825,2299.0,urban,background,0.0,0.0
bel_4.4832553341975006_51.02037444472533,PM,bel,4.4832553341975006,51.02037444472533,0.0,urban,non-background,1.0,1.0
chn_113.3881_22.5497,PM,chn,113.3881,22.5497,,urban,background,0.0,0.0
bra_-46.600416652_-23.549734044,PM,bra,-46.600416652,-23.549734044,,urban,non-background,0.0,0.0
irl_-6.121667000000001_53.187222,PM,irl,-6.121667000000001,53.187222,47.0,urban,background,1.0,1.0
mex_-103.43148361111_25.528907777778,PM,mex,-103.43148361111,25.528907777778,,urban,background,0.0,0.0
ind_79.446246_23.81748678,PM,ind,79.446246,23.81748678,,urban,background,0.0,0.0
fra_7.048276_43.79191199999999,PM,fra,7.048276,43.79191199999999,994.0,rural,background,1.0,1.0
bra_-43.242609_-22.884164,PM,bra,-43.242609,-22.884164,,urban,non-background,0.0,0.0
fra_7.786409_48.81835,PM,fra,7.786409,48.81835,143.0,urban,background,1.0,1.0
chn_120.091_29.305,PM,chn,120.091,29.305,,urban,non-background,0.0,0.0
ita_10.019167_44.98944399999999,PM,ita,10.019167,44.98944399999999,48.0,rural,background,1.0,1.0
jpn_132.628333333333_34.2311111111111,PM,jpn,132.628333333333,34.2311111111111,4.5,urban,background,0.0,1.0
mex_-99.165840277778_19.471744166667,PM,mex,-99.165840277778,19.471744166667,2255.0,urban,non-background,0.0,0.0
bra_-43.964092_-19.713181,PM,bra,-43.964092,-19.713181,,urban,non-background,0.0,0.0
usa_-81.310556_28.746111,PM,usa,-81.310556,28.746111,18.0,urban,background,1.0,0.0
ind_77.453839_28.685382,PM,ind,77.453839,28.685382,,urban,background,0.0,0.0
bra_-43.172579_-22.907525,PM,bra,-43.172579,-22.907525,,urban,background,0.0,0.0
ita_8.612_44.90659999999998,PM,ita,8.612,44.90659999999998,95.0,urban,non-background,1.0,1.0
prt_-8.555833_41.09666699999999,PM,prt,-8.555833,41.09666699999999,88.0,urban,background,1.0,1.0
chn_85.1045_45.6899,PM,chn,85.1045,45.6899,,urban,background,0.0,0.0
chn_106.674_26.5424,PM,chn,106.674,26.5424,,urban,background,0.0,0.0
chn_102.2625_27.898,PM,chn,102.2625,27.898,,urban,non-background,0.0,0.0
isr_35.06914800000001_32.46043999999998,PM,isr,35.06914800000001,32.46043999999998,,urban,background,0.0,0.0
kor_129.17416589999996_35.1708927,PM,kor,129.17416589999996,35.1708927,,urban,background,0.0,0.0
bel_4.334103679825122_50.849710518565736,PM,bel,4.334103679825122,50.849710518565736,20.0,urban,background,1.0,1.0
deu_10.775796_53.698939,PM,deu,10.775796,53.698939,10.0,urban,background,1.0,1.0
deu_12.188324_47.648459,PM,deu,12.188324,47.648459,469.0,rural,background,1.0,1.0
usa_-80.120045_26.243692,PM,usa,-80.120045,26.243692,684.0,urban,background,1.0,0.0
kor_128.676483_35.371633,PM,kor,128.676483,35.371633,,urban,background,0.0,0.0
usa_-116.1897_33.71969,PM,usa,-116.1897,33.71969,-8.0,urban,background,1.0,0.0
usa_-110.774357_32.04767,PM,usa,-110.774357,32.04767,937.0,rural,non-background,1.0,0.0
chn_118.327_29.7178,PM,chn,118.327,29.7178,,urban,background,0.0,0.0
chn_118.35_37.26,PM,chn,118.35,37.26,,urban,background,0.0,0.0
chn_91.7706_29.2436,PM,chn,91.7706,29.2436,,urban,background,0.0,0.0
usa_-71.014739_42.081936,PM,usa,-71.014739,42.081936,30.0,urban,background,1.0,0.0
chn_119.178_34.844,PM,chn,119.178,34.844,,urban,background,0.0,0.0
usa_-97.431553_27.804489,PM,usa,-97.431553,27.804489,6.0,urban,background,1.0,0.0
bra_-43.968865_-19.712501,PM,bra,-43.968865,-19.712501,,urban,non-background,0.0,0.0
chn_119.368_34.7507,PM,chn,119.368,34.7507,,urban,non-background,0.0,0.0
chl_-71.084707_-30.255042,PM,chl,-71.084707,-30.255042,,rural,background,0.0,0.0
chn_113.2765_23.1544,PM,chn,113.2765,23.1544,,urban,non-background,0.0,0.0
chn_116.2878_39.9611,PM,chn,116.2878,39.9611,,urban,background,0.0,0.0
chn_116.1233_24.2991,PM,chn,116.1233,24.2991,,urban,background,0.0,0.0
jpn_134.935277777778_34.8483333333333,PM,jpn,134.935277777778,34.8483333333333,10.0,urban,non-background,0.0,1.0
chn_103.7444_25.5261,PM,chn,103.7444,25.5261,,urban,non-background,0.0,0.0
chn_103.7897_25.5035,PM,chn,103.7897,25.5035,,urban,background,0.0,0.0
bra_-43.68496_-22.757817,PM,bra,-43.68496,-22.757817,,urban,background,0.0,0.0
tur_36.138267_36.21126499948773,PM,tur,36.138267,36.21126499948773,68.0,urban,background,1.0,1.0
usa_-106.5473_31.86247,PM,usa,-106.5473,31.86247,1253.0,urban,background,1.0,0.0
esp_0.529982528_40.552819474,PM,esp,0.529982528,40.552819474,7.0,rural,non-background,1.0,1.0
mex_-100.46758333333_25.6793,PM,mex,-100.46758333333,25.6793,,urban,non-background,0.0,0.0
usa_-83.183199_42.463063,PM,usa,-83.183199,42.463063,203.0,urban,background,1.0,0.0
tha_100.636548_13.78152,PM,tha,100.636548,13.78152,,urban,background,0.0,0.0
usa_-82.776213_28.000297,PM,usa,-82.776213,28.000297,8.0,urban,background,1.0,0.0
bra_-46.627675599_-23.544845658,PM,bra,-46.627675599,-23.544845658,,urban,non-background,0.0,0.0
usa_-82.457039_27.947799,PM,usa,-82.457039,27.947799,18.0,urban,background,1.0,0.0
usa_-92.410746_31.177824,PM,usa,-92.410746,31.177824,3.0,rural,background,1.0,1.0
twn_121.088903_24.740644,PM,twn,121.088903,24.740644,,urban,background,0.0,0.0
chn_119.8598_31.7066,PM,chn,119.8598,31.7066,,urban,non-background,0.0,0.0
ita_14.254170000000002_40.84972,PM,ita,14.254170000000002,40.84972,42.0,urban,non-background,1.0,1.0
chn_112.9792_28.2597,PM,chn,112.9792,28.2597,,urban,background,0.0,0.0
usa_-88.53393_30.378287,PM,usa,-88.53393,30.378287,0.0,urban,background,1.0,0.0
isr_34.757384_31.987899,PM,isr,34.757384,31.987899,,urban,non-background,0.0,0.0
usa_-101.6224_35.182552,PM,usa,-101.6224,35.182552,0.0,urban,background,1.0,0.0
aut_15.619166_48.408609999467096,PM,aut,15.619166,48.408609999467096,200.0,urban,background,1.0,1.0
jpn_131.622777777778_32.4230555555556,PM,jpn,131.622777777778,32.4230555555556,4.0,urban,non-background,0.0,1.0
fra_4.875408_45.52597,PM,fra,4.875408,45.52597,160.0,urban,background,1.0,1.0
bra_-47.851199_-15.570608,PM,bra,-47.851199,-15.570608,,urban,background,0.0,0.0
chn_113.1075_22.5647,PM,chn,113.1075,22.5647,,urban,non-background,0.0,0.0
usa_-77.16338_38.83738,PM,usa,-77.16338,38.83738,116.0,urban,background,1.0,0.0
deu_10.540524_53.38233799999998,PM,deu,10.540524,53.38233799999998,37.0,urban,background,1.0,1.0
chn_104.8811_25.0992,PM,chn,104.8811,25.0992,,urban,background,0.0,0.0
